Session,Type,Date/Time,Best Lap,Peak RPM,Low RPM,Avg RPM,Top Speed (mph),Peak Lateral G,Valid Laps,Total Laps
TD Session 1,Test Day,11:11 AM,0:19.327,6696,2056,4981,42.6,1.36,11,12
TD Session 2,Test Day,11:32 AM,0:19.403,6726,1948,4927,42.4,1.39,4,5
TD Session 3,Test Day,11:43 AM,0:19.298,6732,2899,5074,42.4,1.30,4,5
TD Session 4,Test Day,11:57 AM,0:19.403,6642,2530,5051,42.2,1.37,4,5
TD Session 5,Test Day,12:07 PM,0:19.447,6699,3085,5066,42.3,1.42,4,5
TD Session 6,Test Day,12:27 PM,0:19.370,6883,2336,5121,42.6,1.36,4,5
TD Session 7,Test Day,12:51 PM,0:19.115,6811,1614,5005,42.9,1.36,4,5
TD Session 8,Test Day,1:06 PM,0:19.101,6813,2660,5167,43.3,1.37,4,5
TD Session 9,Test Day,1:55 PM,0:19.280,6608,2497,5072,41.8,1.57,4,5
TD Session 10,Test Day,2:26 PM,0:19.673,6438,2585,4987,41.0,1.46,4,5
R23 Practice,Race 23,"Sept 27, 2025",0:19.371,6477,2306,4802,41.4,1.56,25,25
R23 Q1,Race 23,"Sept 27, 2025",0:19.563,6463,2440,4844,41.0,1.38,5,5
R23 Q2,Race 23,"Sept 27, 2025",0:19.457,6458,2484,4881,41.6,1.39,5,5
R23 Q3,Race 23,"Sept 27, 2025",0:19.573,6456,2573,4893,40.8,1.45,5,5
R23 Race,Race 23,"Sept 27, 2025",0:19.141,6514,2317,4841,41.5,1.70,25,25
